flashcard_type,topic,question,answer,explanation,hint,ordering_steps_items.step_content,ordering_steps_items.correct_order
Identify the Error,2,Hãy tìm và chỉ ra lỗi sai trong các bước giải bất phương trình sau:  \n Cho bất phương trình: \(-2x + 6 > 10\)  \n Bước 1: \(-2x > 10 - 6\)  \n Bước 2: \(-2x > 4\)  \n Bước 3: \(x > -2\),"Lỗi sai ở Bước 3: Khi chia cả hai vế cho -2 (số âm), phải đổi chiều bất phương trình.  \n Lời giải đúng:  \n Bước 1: \(-2x > 10 - 6\)  \n Bước 2: \(-2x > 4\)  \n Bước 3: \(x < \frac{4}{-2}\)  \n Bước 4: \(x < -2\).","Khi nhân hoặc chia hai vế của bất phương trình cho một số âm, ta phải đổi chiều bất phương trình.",Kiểm tra quy tắc chia cho số âm ở Bước 3.,,
Ordering Steps,2,Sắp xếp các bước giải bất phương trình \(\frac{x-1}{2} - rac{x+2}{3} \le x\).,Thứ tự đúng giúp giải bất phương trình một cách hệ thống.,"Để giải bất phương trình chứa phân số, ta thường quy đồng mẫu số để khử mẫu (nếu mẫu là hằng số dương). Sau đó, thực hiện các phép biến đổi đại số như bỏ ngoặc, chuyển vế, thu gọn để đưa về dạng bất phương trình bậc nhất cơ bản và giải. Lưu ý quy tắc đổi chiều khi nhân hoặc chia cho số âm.",Bắt đầu bằng việc quy đồng mẫu số.,,
,,,,,,Quy đồng mẫu số chung là 6: \(3(x-1) - 2(x+2) \le 6x\).,1
,,,,,,Bỏ dấu ngoặc: \(3x - 3 - 2x - 4 \le 6x\).,2
,,,,,,Thu gọn vế trái: \(x - 7 \le 6x\).,3
,,,,,,"Chuyển các hạng tử chứa x về một vế, hằng số về vế kia: \(x - 6x \le 7 \Rightarrow -5x \le 7\).",4
,,,,,,Chia cả hai vế cho -5 và đổi chiều bất phương trình: \(x \ge -\frac{7}{5}\).,5
Short Answer/Open-ended,2,Giải bất phương trình: \(2(x-3) + 5 \ge 3(1-x)\) và biểu diễn tập nghiệm trên trục số.,"Ta có: \(2x - 6 + 5 \ge 3 - 3x \Rightarrow 2x - 1 \ge 3 - 3x \Rightarrow 2x + 3x \ge 3 + 1 \Rightarrow 5x \ge 4 \Rightarrow x \ge \frac{4}{5}\). Biểu diễn trên trục số: Vẽ trục số, đánh dấu điểm 4/5. Phần trục số bên phải điểm 4/5 (bao gồm cả điểm 4/5) được gạch chéo hoặc tô đậm, đầu mút tại 4/5 là ngoặc vuông '[' hướng sang phải.",Giải bất phương trình và biểu diễn tập nghiệm đúng cách trên trục số.,"Khai triển, chuyển vế, thu gọn. Chú ý dấu ngoặc khi biểu diễn tập nghiệm.",,
Ordering Steps,2,"Sắp xếp các bước chứng minh bất đẳng thức Cauchy (Cô-si) cho hai số không âm a, b: \(\frac{a+b}{2} \ge \sqrt{ab}\).",Thứ tự đúng thể hiện logic chứng minh.,Bất đẳng thức Cauchy là một bất đẳng thức cơ bản và quan trọng.,Bắt đầu từ việc xét hiệu hoặc biến đổi tương đương.,,
,,,,,,Xét hiệu: \(\frac{a+b}{2} - \sqrt{ab}\).,1
,,,,,,Quy đồng và biến đổi: \(\frac{a+b-2\sqrt{ab}}{2} = \frac{(\sqrt{a})^2 - 2\sqrt{a}\sqrt{b} + (\sqrt{b})^2}{2}\).,2
,,,,,,Đưa về dạng bình phương: \(\frac{(\sqrt{a}-\sqrt{b})^2}{2}\).,3
,,,,,,"Vì \((\sqrt{a}-\sqrt{b})^2 \ge 0\) với mọi \(a,b \ge 0\), nên \(\frac{(\sqrt{a}-\sqrt{b})^2}{2} \ge 0\).",4
,,,,,,Suy ra \(\frac{a+b}{2} - \sqrt{ab} \ge 0 \Rightarrow \frac{a+b}{2} \ge \sqrt{ab}\). Dấu '=' xảy ra khi a = b.,5
What's the Next Step?,2,"Để giải bất phương trình \(|x-2| < 3\), ta áp dụng tính chất của giá trị tuyệt đối: Nếu \(|A| < B\) (với B>0) thì \(-B < A < B\). Bước tiếp theo là gì?",Áp dụng vào bài toán: \(-3 < x-2 < 3\).,Sau đó ta sẽ giải hai bất phương trình kép này.,Thay A bằng (x-2) và B bằng 3.,,
Identify the Error,2,Cho \(a > b\). Tìm lỗi sai trong suy luận: \(a > b \Rightarrow -2a > -2b\).,"Lỗi sai: Khi nhân cả hai vế của bất đẳng thức với một số âm (-2), phải đổi chiều bất đẳng thức. Suy luận đúng: \(a > b \Rightarrow -2a < -2b\).",Quy tắc nhân bất đẳng thức với số âm.,Nhân với số âm thì chiều bất đẳng thức thay đổi như thế nào?,,
Fill in the Blank,2,Nếu \(a \ge b\) và \(c > 0\) thì \(ac \) ___ \(bc\). Nếu \(a \ge b\) và \(c < 0\) thì \(ac \) ___ \(bc\).,≥; ≤,Tính chất nhân với số dương và số âm cho bất đẳng thức không nghiêm ngặt.,"Giữ chiều khi nhân số dương, đổi chiều khi nhân số âm.",,
Short Answer/Open-ended,2,Tìm các giá trị nguyên của x thỏa mãn đồng thời hai bất phương trình: \(2x - 1 > 3\) và \(5 - x \ge 1\).,"Giải bất phương trình thứ nhất: \(2x - 1 > 3 \Rightarrow 2x > 4 \Rightarrow x > 2\). Giải bất phương trình thứ hai: \(5 - x \ge 1 \Rightarrow -x \ge 1 - 5 \Rightarrow -x \ge -4 \Rightarrow x \le 4\). Kết hợp hai điều kiện: \(2 < x \le 4\). Vì x là số nguyên nên \(x \in \{3, 4\}\).",Giải từng bất phương trình rồi tìm giao của hai tập nghiệm.,"Giải riêng từng bất phương trình, sau đó tìm phần chung.",,
Ordering Steps,2,Sắp xếp các bước giải bất phương trình tích \((x-1)(3-x) > 0\) bằng cách lập bảng xét dấu.,Thứ tự đúng giúp xác định chính xác các khoảng nghiệm.,"Lập bảng xét dấu là một phương pháp hiệu quả để giải bất phương trình tích, thương.","Tìm nghiệm của từng nhị thức, sau đó xét dấu trên các khoảng.",,
,,,,,,Tìm nghiệm của các nhị thức: \(x-1=0 \Rightarrow x=1\); \(3-x=0 \Rightarrow x=3\).,1
,,,,,,"Lập bảng xét dấu với các cột cho x, (x-1), (3-x) và tích (x-1)(3-x). Sắp xếp các nghiệm 1 và 3 trên dòng x.",2
,,,,,,"Xét dấu của nhị thức (x-1): âm khi x<1, dương khi x>1.",3
,,,,,,"Xét dấu của nhị thức (3-x): dương khi x<3, âm khi x>3 (hệ số của x là -1).",4
,,,,,,Nhân dấu của (x-1) và (3-x) trong từng khoảng để được dấu của tích. Khoảng (-∞;1): (-)x(+) = (-). Khoảng (1;3): (+)x(+) = (+). Khoảng (3;+∞): (+)x(-) = (-).,5
,,,,,,"Dựa vào yêu cầu bất phương trình \((x-1)(3-x) > 0\) (lấy dấu '+'), kết luận tập nghiệm là \(1 < x < 3\).",6
What's the Next Step?,2,"Để tìm giá trị lớn nhất của biểu thức \(B = -x^2 + 6x - 5\), ta biến đổi: \(B = -(x^2 - 6x + 5) = -(x^2 - 6x + 9 - 4)\). Bước tiếp theo là gì?",Đưa về dạng bình phương: \(B = -[(x-3)^2 - 4] = -(x-3)^2 + 4\).,Sau đó dựa vào \(-(x-3)^2 \le 0\) để tìm giá trị lớn nhất.,Hoàn thành hằng đẳng thức bên trong dấu ngoặc.,,
Concept/Theorem/Formula,2,"Liên hệ giữa thứ tự và phép cộng, phép nhân","1. Khi cộng cùng một số vào cả hai vế của một bất đẳng thức, ta được một bất đẳng thức mới cùng chiều với bất đẳng thức đã cho. 2. Khi nhân cả hai vế của một bất đẳng thức với cùng một số dương, ta được một bất đẳng thức mới cùng chiều. 3. Khi nhân cả hai vế của một bất đẳng thức với cùng một số âm, ta được một bất đẳng thức mới ngược chiều với bất đẳng thức đã cho.",Các quy tắc cơ bản khi biến đổi bất đẳng thức.,"Cộng không đổi chiều, nhân số dương không đổi chiều, nhân số âm đổi chiều.",,
Fill in the Blank,2,Bất đẳng thức \(|A+B| \le |A| + |B|\) được gọi là bất đẳng thức ___. Dấu '=' xảy ra khi A và B ___.,giá trị tuyệt đối (hay bất đẳng thức tam giác); cùng dấu (hoặc một trong hai bằng 0),Một bất đẳng thức quan trọng liên quan đến giá trị tuyệt đối.,Tên gọi liên quan đến tam giác. Điều kiện để tổng bằng tổng các giá trị tuyệt đối.,,
Identify the Error,2,So sánh -5 và -3. Lỗi sai ở đâu trong lập luận: 'Vì 5 > 3 nên -5 > -3.',"Lỗi sai: Khi nhân (hoặc lấy số đối) cả hai vế của một bất đẳng thức, nếu nhân với số âm thì phải đổi chiều bất đẳng thức. Đúng ra: Vì 5 > 3, nên \(-1 \cdot 5 < -1 \cdot 3\), tức là \(-5 < -3\).",Quy tắc so sánh hai số âm.,"Trên trục số, số nào nằm bên trái thì nhỏ hơn.",,
Fill in the Blank,2,"Nếu nhân cả hai vế của bất đẳng thức \(a < b\) với một số c < 0, ta được bất đẳng thức mới là \(ac \) ___ \(bc\).",> (lớn hơn),Quy tắc đổi chiều bất đẳng thức khi nhân với số âm.,Chiều của bất đẳng thức thay đổi như thế nào?,,
Concept/Theorem/Formula,3,Căn bậc hai số học: Định nghĩa và tính chất,"Với số thực không âm \(a\), căn bậc hai số học của \(a\), kí hiệu \(\sqrt{a}\), là số \(x\) không âm sao cho \(x^2 = a\). Tính chất: 1. \(\sqrt{a} \ge 0\) với mọi \(a \ge 0\). 2. Nếu \(a \ge 0\) thì \((\sqrt{a})^2 = a\). 3. Với \(a \ge 0, b \ge 0\), nếu \(a < b\) thì \(\sqrt{a} < \sqrt{b}\).",Căn bậc hai số học luôn là một giá trị không âm.,Số không âm bình phương lên bằng số trong căn.,,
Fill in the Blank,3,Biểu thức \(\sqrt{A}\) được gọi là căn thức bậc hai của A. \(A\) được gọi là biểu thức lấy căn hay biểu thức ___ dấu căn. \(\sqrt{A}\) xác định (hay có nghĩa) khi A lấy giá trị ___.,dưới; không âm,Một biểu thức chứa căn bậc hai chỉ có nghĩa khi biểu thức bên trong dấu căn lớn hơn hoặc bằng 0.,Từ 'dưới' và điều kiện để căn bậc hai tồn tại.,,
Short Answer/Open-ended,3,Tìm điều kiện xác định của biểu thức \(\sqrt{2x - 6}\).,Biểu thức \(\sqrt{2x - 6}\) xác định khi \(2x - 6 \ge 0\). Giải bất phương trình: \(2x \ge 6 \Rightarrow x \ge 3\). Vậy điều kiện xác định của biểu thức là \(x \ge 3\).,Biểu thức dưới dấu căn bậc hai phải không âm.,Cho biểu thức trong căn lớn hơn hoặc bằng 0.,,
Concept/Theorem/Formula,3,Hằng đẳng thức \(\sqrt{A^2} = |A|\),"Với mọi biểu thức A, ta có \(\sqrt{A^2} = |A|\). Nghĩa là: \(\sqrt{A^2} = A\) nếu \(A \ge 0\). \(\sqrt{A^2} = -A\) nếu \(A < 0\). Ví dụ: \(\sqrt{(-5)^2} = |-5| = 5\). \(\sqrt{(x-1)^2} = |x-1|\).","Đây là một hằng đẳng thức rất quan trọng, giúp khai phương một bình phương.",Kết quả luôn là giá trị tuyệt đối.,,
Identify the Error,3,"Tìm lỗi sai trong phép biến đổi sau: Với \(x < 2\), \(\sqrt{(x-2)^2} = x-2\).","Lỗi sai: Áp dụng sai hằng đẳng thức \(\sqrt{A^2} = |A|\). Vì \(x < 2\) nên \(x-2 < 0\). Do đó, \(|x-2| = -(x-2) = 2-x\). Lời giải đúng: Với \(x < 2\), \(\sqrt{(x-2)^2} = |x-2| = -(x-2) = 2-x\).",Cần xét dấu của biểu thức A bên trong bình phương để phá dấu giá trị tuyệt đối.,Nhớ rằng \(\sqrt{A^2} = |A|\) và cách phá dấu giá trị tuyệt đối.,,
Short Answer/Open-ended,3,Rút gọn biểu thức \(\sqrt{(3-\sqrt{10})^2}\).,"Ta có \(\sqrt{(3-\sqrt{10})^2} = |3-\sqrt{10}|\). Vì \(3 = \sqrt{9} < \sqrt{10}\), nên \(3-\sqrt{10} < 0\). Do đó, \(|3-\sqrt{10}| = -(3-\sqrt{10}) = \sqrt{10}-3\).",Áp dụng hằng đẳng thức \(\sqrt{A^2}=|A|\) và xét dấu biểu thức bên trong giá trị tuyệt đối.,So sánh 3 và \(\sqrt{10}\) để phá dấu giá trị tuyệt đối.,,
Concept/Theorem/Formula,3,"Các phép biến đổi căn thức: Khai phương một tích, khai phương một thương","1. Khai phương một tích: Với \(A \ge 0, B \ge 0\), ta có \(\sqrt{A \cdot B} = \sqrt{A} \cdot \sqrt{B}\). 2. Khai phương một thương: Với \(A \ge 0, B > 0\), ta có \(\sqrt{\frac{A}{B}} = \frac{\sqrt{A}}{\sqrt{B}}\).",Các quy tắc này giúp đơn giản hóa việc tính toán và rút gọn biểu thức chứa căn.,"Căn của tích bằng tích các căn, căn của thương bằng thương các căn (với điều kiện thích hợp).",,
What's the Next Step?,3,"Để rút gọn biểu thức \(\sqrt{12}\), ta phân tích \(12 = 4 \cdot 3\). Vậy \(\sqrt{12} = \sqrt{4 \cdot 3}\). Bước tiếp theo là gì?",Áp dụng quy tắc khai phương một tích: \(\sqrt{4 \cdot 3} = \sqrt{4} \cdot \sqrt{3}\).,Sau đó tính \(\sqrt{4}=2\) để được kết quả \(2\sqrt{3}\).,Sử dụng quy tắc \(\sqrt{AB} = \sqrt{A}\sqrt{B}\).,,
Identify the Error,3,Tìm lỗi sai trong phép tính: \(\sqrt{(-9) \cdot (-4)} = \sqrt{-9} \cdot \sqrt{-4}\).,Lỗi sai: Quy tắc khai phương một tích \(\sqrt{AB} = \sqrt{A}\sqrt{B}\) chỉ áp dụng khi \(A \ge 0\) và \(B \ge 0\). Ở đây \(-9 < 0\) và \(-4 < 0\) nên không thể áp dụng trực tiếp. Cách tính đúng: \(\sqrt{(-9) \cdot (-4)} = \sqrt{36} = 6\).,Điều kiện áp dụng của quy tắc khai phương một tích là các thừa số phải không âm.,Kiểm tra điều kiện của A và B trong công thức \(\sqrt{AB} = \sqrt{A}\sqrt{B}\).,,
Concept/Theorem/Formula,3,Trục căn thức ở mẫu,"Trục căn thức ở mẫu là làm mất dấu căn ở mẫu số. Các trường hợp thường gặp: 1. Mẫu có dạng \(\sqrt{B}\) (với \(B>0\)): Nhân cả tử và mẫu với \(\sqrt{B}\). \(\frac{A}{\sqrt{B}} = \frac{A\sqrt{B}}{B}\). 2. Mẫu có dạng \(\sqrt{A} \pm \sqrt{B}\) (với \(A, B \ge 0, A \ne B\)): Nhân cả tử và mẫu với biểu thức liên hợp. Nếu mẫu là \(\sqrt{A} + \sqrt{B}\) thì nhân với \(\sqrt{A} - \sqrt{B}\) và ngược lại. Ví dụ: \(\frac{C}{\sqrt{A} + \sqrt{B}} = \frac{C(\sqrt{A} - \sqrt{B})}{A - B}\).",Giúp biểu thức gọn gàng hơn và thuận tiện cho các phép tính sau này.,Nhân với biểu thức liên hợp để tạo hằng đẳng thức \((a-b)(a+b)=a^2-b^2\).,,
Ordering Steps,3,Sắp xếp các bước trục căn thức ở mẫu cho biểu thức \(\frac{2}{\sqrt{3}-1}\).,Thực hiện đúng các bước giúp loại bỏ căn thức ở mẫu một cách chính xác.,"Để trục căn thức ở mẫu có dạng \(\sqrt{A} - B\) hoặc \(A - \sqrt{B}\), ta nhân cả tử và mẫu với biểu thức liên hợp của mẫu. Biểu thức liên hợp của \(\sqrt{A} - B\) là \(\sqrt{A} + B\). Khi đó mẫu sẽ trở thành hiệu hai bình phương, làm mất dấu căn.",Xác định biểu thức liên hợp của mẫu.,,
,,,,,,Xác định biểu thức liên hợp của mẫu \(\sqrt{3}-1\) là \(\sqrt{3}+1\).,1
,,,,,,Nhân cả tử và mẫu với \(\sqrt{3}+1\): \(\frac{2(\sqrt{3}+1)}{(\sqrt{3}-1)(\sqrt{3}+1)}\).,2
,,,,,,Áp dụng hằng đẳng thức ở mẫu: \(\frac{2(\sqrt{3}+1)}{(\sqrt{3})^2 - 1^2} = \frac{2(\sqrt{3}+1)}{3-1} = \frac{2(\sqrt{3}+1)}{2}\).,3
,,,,,,Rút gọn: \(\sqrt{3}+1\).,4
Short Answer/Open-ended,3,Trục căn thức ở mẫu của biểu thức \(\frac{5}{2\sqrt{5}}\).,Nhân cả tử và mẫu với \(\sqrt{5}\): \(\frac{5\sqrt{5}}{2\sqrt{5}\cdot\sqrt{5}} = \frac{5\sqrt{5}}{2 \cdot 5} = \frac{5\sqrt{5}}{10} = \frac{\sqrt{5}}{2}\).,Trường hợp mẫu chỉ có một căn thức.,Nhân cả tử và mẫu với \(\sqrt{5}\).,,
What's the Next Step?,3,"Để rút gọn biểu thức \(P = \sqrt{7-4\sqrt{3}}\), ta cố gắng đưa biểu thức trong căn về dạng bình phương của một hiệu. Ta nhận thấy \(4\sqrt{3} = 2 \cdot 2 \cdot \sqrt{3}\). Bước tiếp theo là gì?",Phân tích số 7 thành tổng của hai số mà bình phương của chúng liên quan đến \(2^2\) và \((\sqrt{3})^2\). Ta có \(7 = 4 + 3 = 2^2 + (\sqrt{3})^2\). Vậy \(7-4\sqrt{3} = 2^2 - 2 \cdot 2 \cdot \sqrt{3} + (\sqrt{3})^2 = (2-\sqrt{3})^2\).,Sử dụng hằng đẳng thức \((a-b)^2 = a^2 - 2ab + b^2\).,Tìm a và b sao cho \(a^2+b^2=7\) và \(2ab=4\sqrt{3}\).,,
Short Answer/Open-ended,3,So sánh \(2\sqrt{3}\) và \(3\sqrt{2}\) mà không dùng máy tính.,"Ta có: \((2\sqrt{3})^2 = 2^2 \cdot (\sqrt{3})^2 = 4 \cdot 3 = 12\). \((3\sqrt{2})^2 = 3^2 \cdot (\sqrt{2})^2 = 9 \cdot 2 = 18\). Vì \(12 < 18\) và \(2\sqrt{3} > 0, 3\sqrt{2} > 0\), nên \(\sqrt{12} < \sqrt{18}\), tức là \(2\sqrt{3} < 3\sqrt{2}\).","Đưa các số vào trong dấu căn bằng cách bình phương, sau đó so sánh các số trong căn.",Bình phương hai số rồi so sánh kết quả.,,
Concept/Theorem/Formula,3,Căn bậc ba: Định nghĩa và tính chất,"Căn bậc ba của một số thực a, kí hiệu \(\sqrt[3]{a}\), là số thực x sao cho \(x^3 = a\). Tính chất: 1. Mọi số thực đều có một căn bậc ba duy nhất. 2. Nếu \(a < b\) thì \(\sqrt[3]{a} < \sqrt[3]{b}\). 3. \(\sqrt[3]{ab} = \sqrt[3]{a} \cdot \sqrt[3]{b}\). 4. \(\sqrt[3]{\frac{a}{b}} = \frac{\sqrt[3]{a}}{\sqrt[3]{b}}\) (với \(b \ne 0\)). 5. \((\sqrt[3]{a})^3 = a\) và \(\sqrt[3]{a^3} = a\).","Khác với căn bậc hai, căn bậc ba của số âm là một số âm.",Số nào lập phương lên bằng số trong căn?,,
Fill in the Blank,3,Căn bậc ba của -27 là ___ vì (___)³ = -27. Căn bậc ba của 64 là ___ vì (___)³ = 64.,-3; -3; 4; 4,Tìm số mà lập phương lên bằng số đã cho.,Số nào nhân với chính nó 3 lần ra kết quả?,,
